date,region,patients,geoOrder
02/05/2020,London,2033,5
02/05/2020,Midlands,1835,3
02/05/2020,North East and Yorkshire,1835,2
02/05/2020,North West,2191,1
02/05/2020,South East,1310,6
02/05/2020,South West,494,7
03/05/2020,East of England,1045,4
03/05/2020,London,2001,5
03/05/2020,Midlands,1802,3
03/05/2020,North East and Yorkshire,1814,2
03/05/2020,North West,2065,1
03/05/2020,South East,1307,6
03/05/2020,South West,525,7
04/05/2020,East of England,961,4
04/05/2020,London,1935,5
04/05/2020,Midlands,1777,3
04/05/2020,North East and Yorkshire,1809,2
04/05/2020,North West,2094,1
04/05/2020,South East,1335,6
04/05/2020,South West,527,7
05/05/2020,East of England,981,4
05/05/2020,London,1891,5
05/05/2020,Midlands,1735,3
05/05/2020,North East and Yorkshire,1747,2
05/05/2020,North West,2043,1
05/05/2020,South East,1291,6
05/05/2020,South West,527,7
06/05/2020,East of England,935,4
06/05/2020,London,1803,5
06/05/2020,Midlands,1712,3
06/05/2020,North East and Yorkshire,1671,2
06/05/2020,North West,1957,1
06/05/2020,South East,1231,6
06/05/2020,South West,473,7
07/05/2020,East of England,894,4
07/05/2020,London,1736,5
07/05/2020,Midlands,1598,3
07/05/2020,North East and Yorkshire,1597,2
07/05/2020,North West,1840,1
07/05/2020,South East,1171,6
07/05/2020,South West,445,7
08/05/2020,East of England,836,4
08/05/2020,London,1639,5
08/05/2020,Midlands,1556,3
08/05/2020,North East and Yorkshire,1531,2
08/05/2020,North West,1817,1
08/05/2020,South East,1123,6
08/05/2020,South West,402,7
09/05/2020,East of England,870,4
09/05/2020,London,1653,5
09/05/2020,Midlands,1563,3
09/05/2020,North East and Yorkshire,1497,2
09/05/2020,North West,1813,1
09/05/2020,South East,1063,6
09/05/2020,South West,417,7
10/05/2020,East of England,903,4
10/05/2020,London,1579,5
10/05/2020,Midlands,1523,3
10/05/2020,North East and Yorkshire,1424,2
10/05/2020,North West,1723,1
10/05/2020,South East,1051,6
10/05/2020,South West,414,7
11/05/2020,East of England,894,4
11/05/2020,London,1580,5
11/05/2020,Midlands,1559,3
11/05/2020,North East and Yorkshire,1508,2
11/05/2020,North West,1799,1
11/05/2020,South East,1062,6
11/05/2020,South West,417,7
12/05/2020,East of England,873,4
12/05/2020,London,1547,5
12/05/2020,Midlands,1520,3
12/05/2020,North East and Yorkshire,1465,2
12/05/2020,North West,1733,1
12/05/2020,South East,1035,6
12/05/2020,South West,387,7
13/05/2020,East of England,851,4
13/05/2020,London,1490,5
13/05/2020,Midlands,1502,3
13/05/2020,North East and Yorkshire,1437,2
13/05/2020,North West,1711,1
13/05/2020,South East,996,6
13/05/2020,South West,378,7
14/05/2020,East of England,823,4
14/05/2020,London,1404,5
14/05/2020,Midlands,1449,3
14/05/2020,North East and Yorkshire,1360,2
14/05/2020,North West,1668,1
14/05/2020,South East,961,6
14/05/2020,South West,364,7
15/05/2020,East of England,811,4
15/05/2020,London,1366,5
15/05/2020,Midlands,1407,3
15/05/2020,North East and Yorkshire,1366,2
15/05/2020,North West,1636,1
15/05/2020,South East,955,6
15/05/2020,South West,361,7
16/05/2020,East of England,777,4
16/05/2020,London,1315,5
16/05/2020,Midlands,1385,3
16/05/2020,North East and Yorkshire,1257,2
16/05/2020,North West,1580,1
16/05/2020,South East,866,6
16/05/2020,South West,347,7
17/05/2020,East of England,797,4
17/05/2020,London,1282,5
17/05/2020,Midlands,1439,3
17/05/2020,North East and Yorkshire,1240,2
17/05/2020,North West,1588,1
17/05/2020,South East,846,6
17/05/2020,South West,361,7
18/05/2020,East of England,783,4
18/05/2020,London,1258,5
18/05/2020,Midlands,1466,3
18/05/2020,North East and Yorkshire,1243,2
18/05/2020,North West,1591,1
18/05/2020,South East,837,6
18/05/2020,South West,371,7
19/05/2020,East of England,787,4
19/05/2020,London,1182,5
19/05/2020,Midlands,1440,3
19/05/2020,North East and Yorkshire,1215,2
19/05/2020,North West,1636,1
19/05/2020,South East,818,6
19/05/2020,South West,358,7
20/05/2020,East of England,764,4
20/05/2020,London,1050,5
20/05/2020,Midlands,1415,3
20/05/2020,North East and Yorkshire,1143,2
20/05/2020,North West,1574,1
20/05/2020,South East,783,6
20/05/2020,South West,354,7
21/05/2020,East of England,740,4
21/05/2020,London,1018,5
21/05/2020,Midlands,1409,3
21/05/2020,North East and Yorkshire,1067,2
21/05/2020,North West,1517,1
21/05/2020,South East,788,6
21/05/2020,South West,357,7
22/05/2020,East of England,718,4
22/05/2020,London,1047,5
22/05/2020,Midlands,1381,3
22/05/2020,North East and Yorkshire,1033,2
22/05/2020,North West,1495,1
22/05/2020,South East,818,6
22/05/2020,South West,335,7
23/05/2020,East of England,707,4
23/05/2020,London,961,5
23/05/2020,Midlands,1303,3
23/05/2020,North East and Yorkshire,979,2
23/05/2020,North West,1464,1
23/05/2020,South East,755,6
23/05/2020,South West,330,7
