nation,date,dailyCases,totalCases
Wales,24-Sep-20,348,21896
England,25-Sep-20,5723,364280
Northern Ireland,25-Sep-20,273,10223
Scotland,25-Sep-20,558,26518
Wales,25-Sep-20,320,22215
England,26-Sep-20,4639,368919
Northern Ireland,26-Sep-20,319,10542
Scotland,26-Sep-20,714,27232
Wales,26-Sep-20,370,22584
England,27-Sep-20,4800,373719
Northern Ireland,27-Sep-20,187,10729
Scotland,27-Sep-20,344,27576
Wales,27-Sep-20,362,22945
England,28-Sep-20,3316,377035
Northern Ireland,28-Sep-20,220,10949
Scotland,28-Sep-20,222,27798
Wales,28-Sep-20,286,23231
England,29-Sep-20,5651,382686
Northern Ireland,29-Sep-20,320,11269
Scotland,29-Sep-20,806,28604
Wales,29-Sep-20,366,23597
England,30-Sep-20,5656,388342
Northern Ireland,30-Sep-20,424,11693
Scotland,30-Sep-20,640,29244
Wales,30-Sep-20,388,23985
England,01-Oct-20,5589,393931
Northern Ireland,01-Oct-20,259,11952
Scotland,01-Oct-20,668,29912
Wales,01-Oct-20,398,24383
England,02-Oct-20,4797,398728
Northern Ireland,02-Oct-20,934,12886
Scotland,02-Oct-20,775,30687
Wales,02-Oct-20,462,24845
England,03-Oct-20,10806,409534
Northern Ireland,03-Oct-20,726,13612
Scotland,03-Oct-20,764,31451
Wales,03-Oct-20,576,25420
England,04-Oct-20,21309,430843
Northern Ireland,04-Oct-20,462,14074
Scotland,04-Oct-20,758,32209
Wales,04-Oct-20,432,25852
England,05-Oct-20,10685,441528
Northern Ireland,05-Oct-20,616,14690
Scotland,05-Oct-20,697,32906
Wales,05-Oct-20,596,26447
England,06-Oct-20,12648,454176
Northern Ireland,06-Oct-20,669,15359
Scotland,06-Oct-20,800,33706
Wales,06-Oct-20,425,26872
England,07-Oct-20,11528,465704
Northern Ireland,07-Oct-20,828,16187
Scotland,07-Oct-20,1054,34760
Wales,07-Oct-20,752,27624
England,08-Oct-20,14952,480656
Northern Ireland,08-Oct-20,923,17110
Scotland,08-Oct-20,1027,35787
Wales,08-Oct-20,638,28262
England,09-Oct-20,10772,491428
Northern Ireland,09-Oct-20,1080,18190
Scotland,09-Oct-20,1246,37033
Wales,09-Oct-20,766,29028
England,10-Oct-20,12628,504056
Northern Ireland,10-Oct-20,902,19092
Scotland,10-Oct-20,1009,38042
Wales,10-Oct-20,627,29654
England,11-Oct-20,10383,514439
Northern Ireland,11-Oct-20,1066,20158
Scotland,11-Oct-20,956,38998
Wales,11-Oct-20,467,30121
England,12-Oct-20,11647,526086
Northern Ireland,12-Oct-20,877,21035
Scotland,12-Oct-20,961,39959
Wales,12-Oct-20,487,30608
England,13-Oct-20,14310,540396
Northern Ireland,13-Oct-20,863,21898
Scotland,13-Oct-20,1297,41256
Wales,13-Oct-20,764,31370
England,14-Oct-20,16132,556528
Northern Ireland,14-Oct-20,1217,23115
Scotland,14-Oct-20,1429,42685
Wales,14-Oct-20,946,32316
England,15-Oct-20,16139,572667
Northern Ireland,15-Oct-20,763,23878
Scotland,15-Oct-20,1351,44036
Wales,15-Oct-20,727,33041
England,16-Oct-20,12176,584843
Northern Ireland,16-Oct-20,1299,25177
Scotland,16-Oct-20,1196,45232
Wales,16-Oct-20,979,34005
England,17-Oct-20,13299,598142
Northern Ireland,17-Oct-20,1031,26208
Scotland,17-Oct-20,1167,46399
Wales,17-Oct-20,674,34679
England,18-Oct-20,14704,612846
Northern Ireland,18-Oct-20,1012,27220
Scotland,18-Oct-20,316,46715
Wales,18-Oct-20,950,35628
England,19-Oct-20,16365,629211
Northern Ireland,19-Oct-20,820,28040
Scotland,19-Oct-20,993,47708
Wales,19-Oct-20,626,36253
England,20-Oct-20,17814,647025
Northern Ireland,20-Oct-20,913,28953
Scotland,20-Oct-20,1456,49164
Wales,20-Oct-20,1148,37400
England,21-Oct-20,22948,669973
Northern Ireland,21-Oct-20,1039,29992
Scotland,21-Oct-20,1739,50903
Wales,21-Oct-20,962,38361
England,22-Oct-20,17354,687327
Northern Ireland,22-Oct-20,1042,31034
Scotland,22-Oct-20,1712,52615
Wales,22-Oct-20,1134,39491
England,23-Oct-20,17116,704443
Northern Ireland,23-Oct-20,1252,32286
Scotland,23-Oct-20,1401,54016
Wales,23-Oct-20,761,40253
England,24-Oct-20,19332,723775
Northern Ireland,24-Oct-20,923,33209
Scotland,24-Oct-20,1433,55449
Wales,24-Oct-20,1324,41577
England,25-Oct-20,16487,740262
Northern Ireland,25-Oct-20,896,34105
Scotland,25-Oct-20,1303,56752
Wales,25-Oct-20,1104,42681
England,26-Oct-20,17883,758145
Northern Ireland,26-Oct-20,727,34832
Scotland,26-Oct-20,1122,57874
Wales,26-Oct-20,1158,43839
England,27-Oct-20,19629,777774
Northern Ireland,27-Oct-20,722,35554
Scotland,27-Oct-20,1327,59201
Wales,27-Oct-20,1207,45046
England,28-Oct-20,21245,799019
Northern Ireland,28-Oct-20,840,36394
Scotland,28-Oct-20,1202,60403
Wales,28-Oct-20,1414,46459
England,29-Oct-20,19740,818759
Northern Ireland,29-Oct-20,822,37216
Scotland,29-Oct-20,1128,61531
Wales,29-Oct-20,1375,47834
England,30-Oct-20,20821,839580
Northern Ireland,30-Oct-20,566,37782
Scotland,30-Oct-20,1281,62812
Wales,30-Oct-20,1737,49571
England,31-Oct-20,18864,858444
Northern Ireland,31-Oct-20,649,38431
Scotland,31-Oct-20,1101,63913
Wales,31-Oct-20,1301,50872
England,01-Nov-20,20602,879046
Northern Ireland,01-Nov-20,685,39116
Scotland,01-Nov-20,1148,65061
Wales,01-Nov-20,819,51691
England,02-Nov-20,15860,894906
Northern Ireland,02-Nov-20,493,39609
Scotland,02-Nov-20,951,66012
Wales,02-Nov-20,1646,53337
England,03-Nov-20,17330,912236
Northern Ireland,03-Nov-20,570,40179
Scotland,03-Nov-20,999,67011
Wales,03-Nov-20,1119,54456
England,04-Nov-20,21863,934099
Northern Ireland,04-Nov-20,679,40858
Scotland,04-Nov-20,1433,68444
Wales,04-Nov-20,1202,55658
England,05-Nov-20,21137,955236
Northern Ireland,05-Nov-20,516,41374
Scotland,05-Nov-20,1216,69660
Wales,05-Nov-20,1272,56927
England,06-Nov-20,20268,975504
Northern Ireland,06-Nov-20,595,41969
Scotland,06-Nov-20,1072,70732
Wales,06-Nov-20,1352,58279
England,07-Nov-20,21875,997379
Northern Ireland,07-Nov-20,528,42497
Scotland,07-Nov-20,1596,72328
Wales,07-Nov-20,958,59237
England,08-Nov-20,18293,1015672
Northern Ireland,08-Nov-20,420,42917
Scotland,08-Nov-20,1115,73443
Wales,08-Nov-20,744,59981
England,09-Nov-20,19036,1034708
Northern Ireland,09-Nov-20,471,43388
Scotland,09-Nov-20,912,74355
Wales,09-Nov-20,931,60912
England,10-Nov-20,18622,1053330
Northern Ireland,10-Nov-20,514,43902
Scotland,10-Nov-20,832,75187
Wales,10-Nov-20,444,61356
England,11-Nov-20,19970,1073300
Northern Ireland,11-Nov-20,791,44693
Scotland,11-Nov-20,1261,76448
Wales,11-Nov-20,928,62284
England,12-Nov-20,30843,1104143
Northern Ireland,12-Nov-20,548,45241
Scotland,12-Nov-20,1212,77660
Wales,12-Nov-20,867,63151
England,13-Nov-20,24540,1128683
Northern Ireland,13-Nov-20,607,45848
Scotland,13-Nov-20,1357,79017
Wales,13-Nov-20,797,63948
England,14-Nov-20,24298,1152981
Northern Ireland,14-Nov-20,511,46359
Scotland,14-Nov-20,1118,80135
Wales,14-Nov-20,933,64881
England,15-Nov-20,21998,1174979
Northern Ireland,15-Nov-20,472,46831
Scotland,15-Nov-20,1159,81294
Wales,15-Nov-20,1333,66214
England,16-Nov-20,19423,1194402
Northern Ireland,16-Nov-20,331,47162
Scotland,16-Nov-20,717,82011
Wales,16-Nov-20,892,67106
England,17-Nov-20,17549,1211951
Northern Ireland,17-Nov-20,549,47711
Scotland,17-Nov-20,1248,83259
Wales,17-Nov-20,705,67811
England,18-Nov-20,17189,1229140
Northern Ireland,18-Nov-20,518,48229
Scotland,18-Nov-20,1264,84523
Wales,18-Nov-20,638,68449
England,19-Nov-20,20291,1249431
Northern Ireland,19-Nov-20,487,48716
Scotland,19-Nov-20,1089,85612
Wales,19-Nov-20,1048,69497
England,20-Nov-20,17845,1267276
Northern Ireland,20-Nov-20,369,49085
Scotland,20-Nov-20,1018,86630
Wales,20-Nov-20,1020,70517
England,21-Nov-20,17615,1284891
Northern Ireland,21-Nov-20,357,49442
Scotland,21-Nov-20,887,87517
Wales,21-Nov-20,1016,71533
England,22-Nov-20,16668,1301559
Northern Ireland,22-Nov-20,342,49784
Scotland,22-Nov-20,844,88361
Wales,22-Nov-20,808,72341
England,23-Nov-20,13329,1314888
Northern Ireland,23-Nov-20,280,50064
Scotland,23-Nov-20,949,89310
Wales,23-Nov-20,892,73233
England,24-Nov-20,9854,1324742
Northern Ireland,24-Nov-20,79,50143
Scotland,24-Nov-20,771,90081
Wales,24-Nov-20,595,73828
England,25-Nov-20,15893,1340635
Northern Ireland,25-Nov-20,533,50676
Scotland,25-Nov-20,880,90961
Wales,25-Nov-20,907,74735
England,26-Nov-20,14637,1355272
Northern Ireland,26-Nov-20,442,51118
Scotland,26-Nov-20,1225,92186
Wales,26-Nov-20,1251,75986
England,27-Nov-20,13557,1367546
Northern Ireland,27-Nov-20,391,51509
Scotland,27-Nov-20,969,93155
Wales,27-Nov-20,1105,77091
England,28-Nov-20,13323,1380869
Northern Ireland,28-Nov-20,315,51824
Scotland,28-Nov-20,788,93943
Wales,28-Nov-20,1445,78536
England,29-Nov-20,10054,1390923
Northern Ireland,29-Nov-20,351,52175
Scotland,29-Nov-20,746,94689
Wales,29-Nov-20,1004,79540
England,30-Nov-20,10869,1401792
Northern Ireland,30-Nov-20,290,52465
Scotland,30-Nov-20,369,95058
Wales,30-Nov-20,802,80342
England,01-Dec-20,11618,1413410
Northern Ireland,01-Dec-20,391,52856
Scotland,01-Dec-20,754,95811
Wales,01-Dec-20,667,81009
