"length","maxPageLimit","data__areaType","data__areaName","data__areaCode","data__date","data__femaleCases__age","data__femaleCases__value","data__femaleCases__rate","data__maleCases__age","data__maleCases__value","data__maleCases__rate","pagination__current","pagination__next","pagination__previous","pagination__first","pagination__last"
"","","","","","","15_to_19","203","77.4","85_to_89","1084","2863.4","","","","",""
"","","","","","","45_to_49","1398","433.4","20_to_24","440","182.9","","","","",""
"","","","","","","70_to_74","839","573.2","50_to_54","1455","483","","","","",""
"","","","","","","35_to_39","1180","289","90+","719","3650.1","","","","",""
"","","","","","","30_to_34","1465","379.7","25_to_29","897","316.4","","","","",""
"","","region","London","E12000007","2020-08-03","75_to_79","948","889.1","25_to_29","891","314.3","","","","",""
"","","","","","","0_to_4","120","40.6","60_to_64","1468","768.5","","","","",""
"","","","","","","60_to_64","1008","503.8","75_to_79","1242","1432.7","","","","",""
"","","","","","","15_to_19","199","75.9","0_to_4","169","54.4","","","","",""
"","","","","","","40_to_44","1240","328.8","30_to_34","1118","291","","","","",""
"","","","","","","45_to_49","1396","432.8","55_to_59","1583","565.1","","","","",""
"","","","","","","90+","1270","3363.5","50_to_54","1453","482.3","","","","",""
"","","","","","","85_to_89","1191","2141.9","20_to_24","437","181.6","","","","",""
"","","","","","","20_to_24","740","326","15_to_19","194","70.4","","","","",""
"","","","","","","70_to_74","838","572.5","5_to_9","105","43.3","","","","",""
"","","","","","","25_to_29","1487","527.4","80_to_84","1331","2031.1","","","","",""
"","","","","","","5_to_9","91","36","10_to_14","106","34.3","","","","",""
"","","","","","","50_to_54","1483","502.1","85_to_89","1084","2863.4","","","","",""
"","","","","","","65_to_69","809","491","35_to_39","1084","252.2","","","","",""
"","","","","","","80_to_84","1100","1289.8","45_to_49","1312","387.6","","","","",""
"","","","","","","35_to_39","1176","288","40_to_44","1112","275","","","","",""
"","","","","","","30_to_34","1461","378.7","90+","719","3650.1","","","","",""
"","","","","","","10_to_14","99","33.7","70_to_74","1217","957","","","","",""
"","","","","","","55_to_59","1326","462.2","65_to_69","1163","785","","","","",""
"","","region","London","E12000007","2020-08-02","85_to_89","1191","2141.9","0_to_4","169","54.4","","","","",""
"","","","","","","80_to_84","1098","1287.4","75_to_79","1242","1432.7","","","","",""
"","","","","","","50_to_54","1478","500.4","85_to_89","1083","2860.8","","","","",""
"","","","","","","45_to_49","1393","431.8","40_to_44","1110","274.5","","","","",""
"","","","","","","10_to_14","96","32.6","5_to_9","105","43.3","","","","",""
"","","","","","","0_to_4","116","39.2","65_to_69","1163","785","","","","",""
"","","","","","","5_to_9","90","35.6","30_to_34","1110","288.9","","","","",""
"","","","","","","60_to_64","1008","503.8","60_to_64","1468","768.5","","","","",""
"","","","","","","15_to_19","198","75.5","20_to_24","433","180","","","","",""
"","","","","","","30_to_34","1455","377.2","45_to_49","1309","386.8","","","","",""
"","","","","","","55_to_59","1326","462.2","80_to_84","1331","2031.1","","","","",""
"","","","","","","65_to_69","808","490.4","50_to_54","1450","481.3","","","","",""
"","","","","","","90+","1270","3363.5","25_to_29","884","311.8","","","","",""
"","","","","","","40_to_44","1238","328.3","35_to_39","1081","251.5","","","","",""
"","","","","","","75_to_79","948","889.1","90+","719","3650.1","","","","",""
"","","","","","","35_to_39","1172","287","10_to_14","104","33.7","","","","",""
"","","","","","","70_to_74","838","572.5","55_to_59","1581","564.4","","","","",""
"","","","","","","20_to_24","733","322.9","15_to_19","187","67.9","","","","",""
"","","","","","","25_to_29","1482","525.6","70_to_74","1217","957","","","","",""
"","","region","London","E12000007","2020-08-01","85_to_89","1191","2141.9","50_to_54","1447","480.3","","","","",""
"","","","","","","25_to_29","1477","523.8","55_to_59","1580","564.1","","","","",""
"","","","","","","15_to_19","198","75.5","0_to_4","166","53.5","","","","",""
"","","","","","","45_to_49","1390","430.9","40_to_44","1107","273.7","","","","",""
"","","","","","","40_to_44","1237","328","25_to_29","882","311.1","","","","",""
"","","","","","","10_to_14","96","32.6","70_to_74","1216","956.2","","","","",""
"","","","","","","30_to_34","1453","376.6","5_to_9","103","42.4","","","","",""
"","","","","","","70_to_74","838","572.5","90+","719","3650.1","","","","",""
"","","","","","","5_to_9","89","35.2","80_to_84","1329","2028","","","","",""
"","","","","","","20_to_24","723","318.5","85_to_89","1082","2858.1","","","","",""
"","","","","","","65_to_69","808","490.4","10_to_14","102","33","","","","",""
"","","","","","","80_to_84","1098","1287.4","65_to_69","1163","785","","","","",""
"","","","","","","60_to_64","1008","503.8","15_to_19","182","66.1","","","","",""
"","","","","","","90+","1270","3363.5","45_to_49","1305","385.6","","","","",""
"","","","","","","0_to_4","115","38.9","60_to_64","1467","768","","","","",""
"","","","","","","75_to_79","948","889.1","20_to_24","428","177.9","","","","",""
"","","","","","","35_to_39","1169","286.3","75_to_79","1241","1431.6","","","","",""
"","","","","","","55_to_59","1325","461.8","35_to_39","1077","250.6","","","","",""
"","","","","","","50_to_54","1475","499.4","30_to_34","1106","287.9","","","","",""
"","","region","London","E12000007","2020-07-31","75_to_79","947","888.2","5_to_9","103","42.4","","","","",""
"","","","","","","40_to_44","1233","327","15_to_19","179","65","","","","",""
"","","","","","","85_to_89","1191","2141.9","65_to_69","1163","785","","","","",""
"","","","","","","0_to_4","114","38.6","35_to_39","1072","249.4","","","","",""
"","","","","","","80_to_84","1097","1286.3","85_to_89","1082","2858.1","","","","",""
"","","","","","","5_to_9","87","34.4","70_to_74","1216","956.2","","","","",""
"","","","","","","15_to_19","198","75.5","45_to_49","1303","385","","","","",""
"","","","","","","50_to_54","1471","498","75_to_79","1240","1430.4","","","","",""
"","","","","","","70_to_74","838","572.5","50_to_54","1445","479.7","","","","",""
"","","","","","","45_to_49","1388","430.3","25_to_29","879","310.1","","","","",""
"","","","","","","30_to_34","1450","375.9","55_to_59","1579","563.7","","","","",""
"","","","","","","20_to_24","722","318.1","0_to_4","162","52.2","","","","",""
"","","","","","","60_to_64","1007","503.3","30_to_34","1101","286.6","","","","",""
"","","","","","","55_to_59","1322","460.8","80_to_84","1329","2028","","","","",""
"","","","","","","25_to_29","1476","523.5","20_to_24","426","177.1","","","","",""
"","","","","","","90+","1270","3363.5","40_to_44","1107","273.7","","","","",""
"","","","","","","10_to_14","96","32.6","90+","719","3650.1","","","","",""
"","","","","","","65_to_69","805","488.6","10_to_14","102","33","","","","",""
"","","","","","","35_to_39","1167","285.8","60_to_64","1466","767.5","","","","",""
"","","region","London","E12000007","2020-07-30","25_to_29","1473","522.4","50_to_54","1443","479.0","","","","",""
"","","","","","","75_to_79","947","888.2","90+","718","3645.0","","","","",""
"","","","","","","15_to_19","195","74.4","85_to_89","1081","2855.5","","","","",""
"","","","","","","40_to_44","1228","325.6","70_to_74","1215","955.4","","","","",""
"","","","","","","10_to_14","96","32.6","60_to_64","1463","765.9","","","","",""
"","","","","","","20_to_24","718","316.3","40_to_44","1104","273.0","","","","",""
"","","","","","","5_to_9","86","34.0","25_to_29","875","308.7","","","","",""
"","","","","","","30_to_34","1446","374.8","15_to_19","177","64.3","","","","",""
"","","","","","","35_to_39","1161","284.3","65_to_69","1161","783.6","","","","",""
"","","","","","","50_to_54","1467","496.7","35_to_39","1067","248.3","","","","",""
"","","","","","","90+","1270","3363.5","30_to_34","1099","286.0","","","","",""
"","","","","","","55_to_59","1321","460.4","45_to_49","1299","383.8","","","","",""
"","","","","","","60_to_64","1005","502.3","80_to_84","1329","2028.0","","","","",""
"","","","","","","65_to_69","805","488.6","10_to_14","102","33.0","","","","",""
"","","","","","","0_to_4","113","38.2","55_to_59","1577","563.0","","","","",""
"","","","","","","85_to_89","1191","2141.9","5_to_9","103","42.4","","","","",""
"","","","","","","45_to_49","1384","429.0","20_to_24","423","175.8","","","","",""
"","","","","","","70_to_74","838","572.5","0_to_4","162","52.2","","","","",""
"","","","","","","80_to_84","1097","1286.3","75_to_79","1240","1430.4","","","","",""
"","","region","London","E12000007","2020-07-29","85_to_89","1191","2141.9","50_to_54","1440","478","","","","",""
"","","","","","","70_to_74","838","572.5","25_to_29","874","308.3","","","","",""
"","","","","","","20_to_24","714","314.5","35_to_39","1059","246.4","","","","",""
"","","","","","","80_to_84","1097","1286.3","45_to_49","1295","382.6","","","","",""
"","","","","","","35_to_39","1156","283.1","55_to_59","1573","561.6","","","","",""
"","","","","","","65_to_69","804","487.9","90+","718","3645","","","","",""
"","","","","","","90+","1268","3358.2","10_to_14","102","33","","","","",""
"","","","","","","30_to_34","1437","372.5","0_to_4","160","51.5","","","","",""
"","","","","","","40_to_44","1222","324.1","65_to_69","1161","783.6","","","","",""
"","","","","","","55_to_59","1319","459.7","85_to_89","1081","2855.5","","","","",""
"","","","","","","75_to_79","947","888.2","75_to_79","1240","1430.4","","","","",""
"","","","","","","0_to_4","113","38.2","30_to_34","1091","283.9","","","","",""
"","","","","","","10_to_14","94","32","15_to_19","176","63.9","","","","",""
"","","","","","","15_to_19","193","73.6","40_to_44","1100","272","","","","",""
"","","","","","","25_to_29","1465","519.6","5_to_9","100","41.2","","","","",""
"","","","","","","5_to_9","85","33.6","70_to_74","1214","954.6","","","","",""
"","","","","","","60_to_64","1003","501.3","20_to_24","416","172.9","","","","",""
"","","","","","","50_to_54","1463","495.3","60_to_64","1461","764.9","","","","",""
"","","","","","","45_to_49","1378","427.2","80_to_84","1329","2028","","","","",""
"","","region","London","E12000007","2020-07-28","0_to_4","110","37.2","70_to_74","1212","953.1","","","","",""
"","","","","","","15_to_19","192","73.2","45_to_49","1293","382","","","","",""
"","","","","","","55_to_59","1317","459","10_to_14","101","32.7","","","","",""
"","","","","","","25_to_29","1461","518.2","15_to_19","174","63.2","","","","",""
"","","","","","","40_to_44","1217","322.7","60_to_64","1459","763.8","","","","",""
"","","","","","","85_to_89","1187","2134.7","35_to_39","1050","244.3","","","","",""
"","","","","","","80_to_84","1095","1283.9","20_to_24","414","172.1","","","","",""
"","","","","","","65_to_69","804","487.9","5_to_9","99","40.8","","","","",""
"","","","","","","10_to_14","94","32","0_to_4","159","51.2","","","","",""
"","","","","","","30_to_34","1433","371.4","85_to_89","1081","2855.5","","","","",""
"","","","","","","90+","1265","3350.3","75_to_79","1238","1428.1","","","","",""
"","","","","","","75_to_79","946","887.2","30_to_34","1080","281.1","","","","",""
"","","","","","","20_to_24","709","312.3","90+","718","3645","","","","",""
"","","","","","","35_to_39","1149","281.4","65_to_69","1159","782.3","","","","",""
"","","","","","","60_to_64","1002","500.8","80_to_84","1329","2028","","","","",""
"","","","","","","70_to_74","838","572.5","55_to_59","1570","560.5","","","","",""
"","","","","","","5_to_9","84","33.2","40_to_44","1095","270.8","","","","",""
"","","","","","","45_to_49","1378","427.2","25_to_29","866","305.5","","","","",""
"","","","","","","50_to_54","1460","494.3","50_to_54","1440","478","","","","",""
"","","region","London","E12000007","2020-07-27","75_to_79","945","886.3","90+","717","3640","","","","",""
"","","","","","","50_to_54","1459","494","60_to_64","1458","763.3","","","","",""
"","","","","","","35_to_39","1143","279.9","30_to_34","1071","278.7","","","","",""
"","","","","","","40_to_44","1211","321.1","40_to_44","1091","269.8","","","","",""
"","","","","","","65_to_69","804","487.9","20_to_24","407","169.2","","","","",""
"","","","","","","70_to_74","837","571.8","80_to_84","1329","2028","","","","",""
"","","","","","","0_to_4","109","36.9","5_to_9","96","39.6","","","","",""
"","","","","","","25_to_29","1450","514.3","25_to_29","863","304.4","","","","",""
"","","","","","","45_to_49","1374","425.9","55_to_59","1566","559.1","","","","",""
"","","","","","","5_to_9","84","33.2","75_to_79","1238","1428.1","","","","",""
"","","","","","","85_to_89","1185","2131.1","45_to_49","1293","382","","","","",""
"","","","","","","90+","1265","3350.3","70_to_74","1210","951.5","","","","",""
"","","","","","","30_to_34","1429","370.4","85_to_89","1081","2855.5","","","","",""
"","","","","","","80_to_84","1094","1282.8","65_to_69","1156","780.3","","","","",""
"","","","","","","55_to_59","1316","458.7","10_to_14","98","31.7","","","","",""
"","","","","","","15_to_19","191","72.9","15_to_19","170","61.7","","","","",""
"","","","","","","60_to_64","1001","500.3","0_to_4","156","50.3","","","","",""
"","","","","","","10_to_14","94","32","50_to_54","1437","477","","","","",""
"","","","","","","20_to_24","705","310.6","35_to_39","1045","243.1","","","","",""
"","","region","London","E12000007","2020-07-26","85_to_89","1185","2131.1","90+","717","3640","","","","",""
"","","","","","","75_to_79","945","886.3","85_to_89","1080","2852.8","","","","",""
"","","","","","","55_to_59","1314","458","35_to_39","1042","242.4","","","","",""
"","","","","","","25_to_29","1438","510","65_to_69","1156","780.3","","","","",""
"","","","","","","5_to_9","83","32.8","15_to_19","167","60.6","","","","",""
"","","","","","","0_to_4","109","36.9","40_to_44","1088","269","","","","",""
"","","","","","","65_to_69","800","485.5","30_to_34","1061","276.1","","","","",""
"","","","","","","60_to_64","995","497.3","25_to_29","858","302.7","","","","",""
"","","","","","","35_to_39","1138","278.7","0_to_4","155","49.9","","","","",""
"","","","","","","50_to_54","1456","493","5_to_9","94","38.7","","","","",""
"","","","","","","40_to_44","1205","319.5","10_to_14","97","31.4","","","","",""
"","","","","","","15_to_19","191","72.9","75_to_79","1237","1427","","","","",""
"","","","","","","70_to_74","834","569.8","45_to_49","1292","381.7","","","","",""
"","","","","","","80_to_84","1094","1282.8","20_to_24","404","167.9","","","","",""
"","","","","","","30_to_34","1425","369.4","50_to_54","1434","476","","","","",""
"","","","","","","45_to_49","1371","425","55_to_59","1564","558.4","","","","",""
"","","","","","","90+","1264","3347.6","80_to_84","1329","2028","","","","",""
"","","","","","","20_to_24","702","309.2","70_to_74","1208","949.9","","","","",""
"","","","","","","10_to_14","91","30.9","60_to_64","1456","762.3","","","","",""
"","","region","London","E12000007","2020-07-25","15_to_19","189","72.1","0_to_4","154","49.6","","","","",""
"","","","","","","45_to_49","1366","423.5","45_to_49","1289","380.9","","","","",""
"","","","","","","70_to_74","832","568.4","40_to_44","1085","268.3","","","","",""
"","","","","","","5_to_9","83","32.8","35_to_39","1038","241.5","","","","",""
"","","","","","","0_to_4","108","36.5","15_to_19","163","59.2","","","","",""
"","","","","","","20_to_24","699","307.9","10_to_14","97","31.4","","","","",""
"","","","","","","65_to_69","800","485.5","30_to_34","1054","274.3","","","","",""
"","","","","","","75_to_79","945","886.3","5_to_9","93","38.3","","","","",""
"","","","","","","55_to_59","1314","458","20_to_24","400","166.3","","","","",""
"","","","","","","50_to_54","1452","491.6","55_to_59","1562","557.6","","","","",""
"","","","","","","35_to_39","1135","278","80_to_84","1329","2028","","","","",""
"","","","","","","25_to_29","1434","508.6","25_to_29","856","302","","","","",""
"","","","","","","30_to_34","1421","368.3","70_to_74","1208","949.9","","","","",""
"","","","","","","40_to_44","1204","319.3","75_to_79","1237","1427","","","","",""
"","","","","","","80_to_84","1094","1282.8","50_to_54","1433","475.7","","","","",""
"","","","","","","60_to_64","994","496.8","65_to_69","1155","779.6","","","","",""
"","","","","","","85_to_89","1184","2129.3","85_to_89","1080","2852.8","","","","",""
"","","","","","","10_to_14","90","30.6","90+","717","3640","","","","",""
"","","","","","","90+","1264","3347.6","60_to_64","1456","762.3","","","","",""
"","","region","London","E12000007","2020-07-24","70_to_74","832","568.4","30_to_34","1054","274.3","","","","",""
"","","","","","","75_to_79","945","886.3","60_to_64","1453","760.7","","","","",""
"","","","","","","65_to_69","800","485.5","35_to_39","1033","240.4","","","","",""
"","","","","","","10_to_14","89","30.3","45_to_49","1287","380.3","","","","",""
"","","","","","","55_to_59","1313","457.6","5_to_9","92","37.9","","","","",""
"","","","","","","45_to_49","1364","422.8","75_to_79","1237","1427","","","","",""
"","","","","","","85_to_89","1183","2127.5","40_to_44","1080","267.1","","","","",""
"","","","","","","40_to_44","1202","318.7","80_to_84","1328","2026.5","","","","",""
"","","","","","","90+","1264","3347.6","70_to_74","1208","949.9","","","","",""
"","","","","","","5_to_9","83","32.8","90+","717","3640","","","","",""
"","","","","","","0_to_4","106","35.9","85_to_89","1080","2852.8","","","","",""
"","","","","","","50_to_54","1451","491.3","25_to_29","854","301.3","","","","",""
"","","","","","","60_to_64","993","496.3","15_to_19","163","59.2","","","","",""
"","","","","","","35_to_39","1134","277.7","20_to_24","397","165","","","","",""
"","","","","","","15_to_19","187","71.3","65_to_69","1155","779.6","","","","",""
"","","","","","","20_to_24","693","305.3","50_to_54","1432","475.3","","","","",""
"","","","","","","80_to_84","1093","1281.6","0_to_4","151","48.6","","","","",""
"","","","","","","25_to_29","1428","506.5","55_to_59","1561","557.3","","","","",""
"","","","","","","30_to_34","1419","367.8","10_to_14","97","31.4","","","","",""
"","","region","London","E12000007","2020-07-23","65_to_69","795","482.5","20_to_24","393","163.3","","","","",""
"","","","","","","10_to_14","89","30.3","85_to_89","1078","2847.6","","","","",""
"","","","","","","50_to_54","1449","490.6","70_to_74","1206","948.3","","","","",""
"","","","","","","85_to_89","1182","2125.7","65_to_69","1153","778.2","","","","",""
"","","","","","","80_to_84","1093","1281.6","15_to_19","162","58.8","","","","",""
"","","","","","","45_to_49","1358","421","5_to_9","90","37.1","","","","",""
"","","","","","","30_to_34","1413","366.3","35_to_39","1029","239.4","","","","",""
"","","","","","","20_to_24","690","304","30_to_34","1051","273.5","","","","",""
"","","","","","","55_to_59","1312","457.3","80_to_84","1327","2025","","","","",""
"","","","","","","35_to_39","1131","277","45_to_49","1285","379.7","","","","",""
"","","","","","","90+","1263","3345","90+","715","3629.8","","","","",""
"","","","","","","75_to_79","945","886.3","25_to_29","850","299.8","","","","",""
"","","","","","","5_to_9","82","32.4","60_to_64","1451","759.6","","","","",""
"","","","","","","70_to_74","830","567","50_to_54","1429","474.3","","","","",""
"","","","","","","25_to_29","1425","505.4","55_to_59","1561","557.3","","","","",""
"","","","","","","0_to_4","105","35.5","10_to_14","97","31.4","","","","",""
"","","","","","","15_to_19","183","69.8","75_to_79","1237","1427","","","","",""
"","","","","","","60_to_64","989","494.3","40_to_44","1078","266.6","","","","",""
"","","","","","","40_to_44","1200","318.2","0_to_4","149","48","","","","",""
"","","region","London","E12000007","2020-07-22","45_to_49","1356","420.4","55_to_59","1560","556.9","","","","",""
"","","","","","","90+","1263","3345","80_to_84","1325","2021.9","","","","",""
"","","","","","","40_to_44","1194","316.6","45_to_49","1284","379.4","","","","",""
"","","","","","","85_to_89","1182","2125.7","40_to_44","1073","265.3","","","","",""
"","","","","","","50_to_54","1449","490.6","60_to_64","1449","758.6","","","","",""
"","","","","","","30_to_34","1410","365.5","10_to_14","96","31.1","","","","",""
"","","","","","","10_to_14","89","30.3","65_to_69","1153","778.2","","","","",""
"","","","","","","55_to_59","1310","456.6","25_to_29","844","297.7","","","","",""
"","","","","","","20_to_24","684","301.3","5_to_9","89","36.7","","","","",""
"","","","","","","75_to_79","945","886.3","90+","714","3624.7","","","","",""
"","","","","","","65_to_69","794","481.9","35_to_39","1026","238.7","","","","",""
"","","","","","","35_to_39","1129","276.5","0_to_4","146","47","","","","",""
"","","","","","","80_to_84","1093","1281.6","75_to_79","1237","1427","","","","",""
"","","","","","","25_to_29","1421","504","30_to_34","1047","272.5","","","","",""
"","","","","","","70_to_74","828","565.7","70_to_74","1205","947.6","","","","",""
"","","","","","","60_to_64","986","492.8","15_to_19","162","58.8","","","","",""
"","","","","","","15_to_19","183","69.8","20_to_24","388","161.3","","","","",""
"","","","","","","5_to_9","80","31.7","50_to_54","1428","474","","","","",""
"","","","","","","0_to_4","105","35.5","85_to_89","1078","2847.6","","","","",""
"","","region","London","E12000007","2020-07-21","50_to_54","1448","490.3","70_to_74","1203","946","","","","",""
"","","","","","","80_to_84","1092","1280.4","65_to_69","1153","778.2","","","","",""
"","","","","","","0_to_4","104","35.2","50_to_54","1427","473.7","","","","",""
"","","","","","","60_to_64","985","492.3","75_to_79","1236","1425.8","","","","",""
"","","","","","","65_to_69","792","480.7","5_to_9","87","35.8","","","","",""
"","","","","","","40_to_44","1190","315.6","45_to_49","1283","379.1","","","","",""
"","","","","","","55_to_59","1306","455.2","20_to_24","382","158.8","","","","",""
"","","","","","","35_to_39","1127","276","25_to_29","839","296","","","","",""
"","","","","","","20_to_24","678","298.7","30_to_34","1040","270.7","","","","",""
"","","","","","","45_to_49","1352","419.1","10_to_14","96","31.1","","","","",""
"","","","","","","70_to_74","827","565","0_to_4","146","47","","","","",""
"","","","","","","75_to_79","943","884.4","35_to_39","1021","237.6","","","","",""
"","","","","","","25_to_29","1417","502.6","55_to_59","1558","556.2","","","","",""
"","","","","","","5_to_9","80","31.7","40_to_44","1071","264.8","","","","",""
"","","","","","","90+","1259","3334.4","90+","713","3619.7","","","","",""
"","","","","","","10_to_14","89","30.3","85_to_89","1078","2847.6","","","","",""
"","","","","","","30_to_34","1406","364.5","60_to_64","1448","758.1","","","","",""
"","","","","","","85_to_89","1182","2125.7","80_to_84","1324","2020.4","","","","",""
"","","","","","","15_to_19","181","69","15_to_19","161","58.4","","","","",""
"","","region","London","E12000007","2020-07-20","55_to_59","1304","454.5","85_to_89","1078","2847.6","","","","",""
"","","","","","","40_to_44","1187","314.8","55_to_59","1556","555.5","","","","",""
"","","","","","","60_to_64","983","491.4","15_to_19","160","58.1","","","","",""
"","","","","","","25_to_29","1412","500.8","80_to_84","1323","2018.9","","","","",""
"","","","","","","10_to_14","89","30.3","0_to_4","145","46.7","","","","",""
"","","","","","","75_to_79","942","883.5","30_to_34","1035","269.4","","","","",""
"","","","","","","50_to_54","1446","489.6","10_to_14","94","30.4","","","","",""
"","","","","","","20_to_24","675","297.4","45_to_49","1282","378.8","","","","",""
"","","","","","","35_to_39","1125","275.5","5_to_9","86","35.4","","","","",""
"","","","","","","70_to_74","827","565","50_to_54","1424","472.7","","","","",""
"","","","","","","0_to_4","104","35.2","60_to_64","1447","757.5","","","","",""
"","","","","","","85_to_89","1180","2122.1","35_to_39","1015","236.2","","","","",""
"","","","","","","90+","1258","3331.7","40_to_44","1062","262.6","","","","",""
"","","","","","","45_to_49","1350","418.5","65_to_69","1153","778.2","","","","",""
"","","","","","","5_to_9","80","31.7","90+","713","3619.7","","","","",""
"","","","","","","30_to_34","1398","362.4","25_to_29","832","293.5","","","","",""
"","","","","","","15_to_19","180","68.7","75_to_79","1236","1425.8","","","","",""
"","","","","","","80_to_84","1092","1280.4","20_to_24","375","155.9","","","","",""
"","","","","","","65_to_69","792","480.7","70_to_74","1202","945.2","","","","",""
"","","region","London","E12000007","2020-07-19","90+","1257","3329.1","55_to_59","1555","555.1","","","","",""
"","","","","","","10_to_14","88","29.9","40_to_44","1058","261.6","","","","",""
"","","","","","","75_to_79","939","880.7","25_to_29","829","292.4","","","","",""
"","","","","","","30_to_34","1393","361.1","45_to_49","1279","377.9","","","","",""
"","","","","","","60_to_64","983","491.4","0_to_4","143","46.1","","","","",""
"","","","","","","0_to_4","102","34.5","15_to_19","156","56.6","","","","",""
"","","","","","","35_to_39","1121","274.5","35_to_39","1010","235","","","","",""
"","","","","","","5_to_9","79","31.3","5_to_9","86","35.4","","","","",""
"","","","","","","55_to_59","1302","453.8","60_to_64","1447","757.5","","","","",""
"","","","","","","45_to_49","1347","417.6","70_to_74","1201","944.4","","","","",""
"","","","","","","85_to_89","1178","2118.6","75_to_79","1235","1424.7","","","","",""
"","","","","","","15_to_19","178","67.9","65_to_69","1151","776.9","","","","",""
"","","","","","","20_to_24","664","292.5","90+","713","3619.7","","","","",""
"","","","","","","70_to_74","825","563.6","20_to_24","373","155","","","","",""
"","","","","","","65_to_69","791","480.1","30_to_34","1030","268.1","","","","",""
"","","","","","","50_to_54","1443","488.6","85_to_89","1078","2847.6","","","","",""
"","","","","","","40_to_44","1178","312.4","10_to_14","94","30.4","","","","",""
"","","","","","","25_to_29","1404","498","80_to_84","1323","2018.9","","","","",""
"","","","","","","80_to_84","1091","1279.2","50_to_54","1421","471.7","","","","",""
"","","region","London","E12000007","2020-07-18","40_to_44","1177","312.1","80_to_84","1323","2018.9","","","","",""
"","","","","","","70_to_74","824","562.9","10_to_14","94","30.4","","","","",""
"","","","","","","10_to_14","87","29.6","45_to_49","1277","377.3","","","","",""
"","","","","","","60_to_64","983","491.4","15_to_19","156","56.6","","","","",""
"","","","","","","85_to_89","1178","2118.6","55_to_59","1555","555.1","","","","",""
"","","","","","","90+","1257","3329.1","90+","713","3619.7","","","","",""
"","","","","","","25_to_29","1396","495.1","85_to_89","1077","2844.9","","","","",""
"","","","","","","35_to_39","1116","273.3","20_to_24","371","154.2","","","","",""
"","","","","","","20_to_24","664","292.5","40_to_44","1057","261.4","","","","",""
"","","","","","","5_to_9","78","30.9","35_to_39","1009","234.8","","","","",""
"","","","","","","15_to_19","177","67.5","50_to_54","1420","471.4","","","","",""
"","","","","","","80_to_84","1090","1278.1","0_to_4","142","45.7","","","","",""
"","","","","","","30_to_34","1390","360.3","5_to_9","85","35","","","","",""
"","","","","","","45_to_49","1346","417.3","60_to_64","1446","757","","","","",""
"","","","","","","0_to_4","102","34.5","30_to_34","1028","267.6","","","","",""
"","","","","","","75_to_79","939","880.7","65_to_69","1150","776.2","","","","",""
"","","","","","","50_to_54","1442","488.2","70_to_74","1201","944.4","","","","",""
"","","","","","","65_to_69","790","479.5","25_to_29","827","291.7","","","","",""
"","","","","","","55_to_59","1302","453.8","75_to_79","1235","1424.7","","","","",""
"","","region","London","E12000007","2020-07-17","25_to_29","1392","493.7","70_to_74","1200","943.6","","","","",""
"","","","","","","35_to_39","1112","272.3","60_to_64","1445","756.5","","","","",""
"","","","","","","45_to_49","1344","416.6","50_to_54","1419","471","","","","",""
"","","","","","","90+","1257","3329.1","45_to_49","1277","377.3","","","","",""
"","","","","","","85_to_89","1178","2118.6","55_to_59","1554","554.8","","","","",""
"","","","","","","40_to_44","1176","311.9","10_to_14","93","30.1","","","","",""
"","","","","","","15_to_19","177","67.5","5_to_9","83","34.2","","","","",""
"","","","","","","70_to_74","824","562.9","80_to_84","1321","2015.8","","","","",""
"","","","","","","60_to_64","982","490.9","25_to_29","824","290.7","","","","",""
"","","","","","","20_to_24","659","290.3","15_to_19","156","56.6","","","","",""
"","","","","","","65_to_69","790","479.5","90+","712","3614.6","","","","",""
"","","","","","","10_to_14","86","29.2","40_to_44","1053","260.4","","","","",""
"","","","","","","80_to_84","1088","1275.7","75_to_79","1235","1424.7","","","","",""
"","","","","","","50_to_54","1442","488.2","20_to_24","369","153.4","","","","",""
"","","","","","","0_to_4","102","34.5","0_to_4","142","45.7","","","","",""
"","","","","","","55_to_59","1300","453.1","85_to_89","1077","2844.9","","","","",""
"","","","","","","30_to_34","1385","359","35_to_39","1008","234.5","","","","",""
"","","","","","","75_to_79","939","880.7","30_to_34","1027","267.3","","","","",""
"","","","","","","5_to_9","78","30.9","65_to_69","1150","776.2","","","","",""
"","","region","London","E12000007","2020-07-16","10_to_14","86","29.2","30_to_34","1023","266.3","","","","",""
"","","","","","","0_to_4","102","34.5","45_to_49","1275","376.7","","","","",""
"","","","","","","70_to_74","824","562.9","65_to_69","1150","776.2","","","","",""
"","","","","","","85_to_89","1176","2115","35_to_39","1006","234.1","","","","",""
"","","","","","","60_to_64","981","490.4","85_to_89","1076","2842.3","","","","",""
"","","","","","","65_to_69","789","478.8","15_to_19","155","56.3","","","","",""
"","","","","","","30_to_34","1381","358","70_to_74","1199","942.8","","","","",""
"","","","","","","45_to_49","1343","416.3","60_to_64","1445","756.5","","","","",""
"","","","","","","20_to_24","655","288.5","40_to_44","1053","260.4","","","","",""
"","","","","","","15_to_19","176","67.1","55_to_59","1552","554.1","","","","",""
"","","","","","","40_to_44","1175","311.6","75_to_79","1234","1423.5","","","","",""
"","","","","","","55_to_59","1300","453.1","80_to_84","1321","2015.8","","","","",""
"","","","","","","75_to_79","939","880.7","0_to_4","142","45.7","","","","",""
"","","","","","","25_to_29","1390","493","20_to_24","367","152.5","","","","",""
